Year,Month,Region,Channel,NewSales,AvgSaleValue,MarketingCost,OperationalCost,CustomerSatisfaction,TotalRevenue,Profit,ROI,CostPerSale
2020,1,East,Retail,848,239.27,97306.7,32132.62,6.18,202900.96,73461.64,75.49,37.89
2020,1,East,Online,413,600.21,93217.76,43213.17,7.53,247886.73,111455.8,119.56,104.63
2020,1,East,Online,453,879.7,88258.03,43406.64,8.32,398504.1,266839.43,302.34,95.82
2020,1,South,Partner,532,1095.69,76813.29,73656.22,9.03,582907.08,432437.57,562.97,138.45
2020,1,South,Partner,416,611.3,36993.65,79127.79,8.88,254300.8,138179.36,373.52,190.21
2020,1,East,Retail,640,807.14,56365.03,16613.1,4.79,516569.6,443591.47,787.0,25.96
2020,1,West,Partner,439,450.88,41304.01,72394.77,8.41,197936.32,84237.54,203.95,164.91
2020,1,East,Retail,363,591.74,37368.52,44568.47,7.53,214801.62,132864.63,355.55,122.78
2020,1,West,Online,794,780.65,85089.23,62920.07,10.0,619836.1,471826.8,554.51,79.24
2020,1,West,Partner,224,480.33,59088.52,39472.46,8.4,107593.92,9032.94,15.29,176.22
2020,1,South,Partner,147,553.1,16775.08,79592.32,8.6,81305.7,-15061.7,-89.79,541.44
2020,1,West,Partner,408,1191.53,35752.15,11218.59,6.29,486144.24,439173.5,1228.38,27.5
2020,1,North,Partner,639,671.65,97149.43,78339.03,4.83,429184.35,253695.89,261.14,122.6
2020,1,North,Retail,475,1113.04,18784.9,53686.55,8.61,528694.0,456222.55,2428.67,113.02
2020,1,West,Retail,131,960.01,12530.94,45996.12,7.44,125761.31,67234.25,536.55,351.12
2020,1,East,Online,326,704.46,96890.38,22996.17,7.87,229653.96,109767.41,113.29,70.54
2020,1,South,Retail,101,449.97,66838.99,5687.42,9.18,45446.97,-27079.44,-40.51,56.31
2020,1,South,Online,559,396.69,25197.34,53118.48,7.92,221749.71,143433.89,569.24,95.02
