Date,Region,Channel,PoliciesSold,TotalPremium,TotalClaims,CustomerSatisfaction,CommissionRate,PolicyDurationMonths,AvgCustomerAge,ClaimFrequency,ClaimSeverity,RenewalRate,OperatingCost,Profit,LossRatio,ClaimsPerPolicy
01/07/2024,South,Branch,263,179070,119404,9.14,6.68,6,61,0.159,798.55,0.57,6781,52885,0.667,41.82
01/04/2024,East,Online,475,135990,61632,7.36,4.13,6,25,0.318,681.67,0.57,17026,57332,0.453,151.05
01/11/2024,North,Online,752,171670,61476,8.51,6.34,12,40,0.407,652.02,0.71,16323,93871,0.358,306.06
01/08/2024,North,Branch,367,156917,137220,6.86,6.22,6,54,0.065,319.44,0.77,17962,1735,0.874,23.86
01/05/2024,North,Partner,648,284975,50285,8.39,5.39,12,33,0.373,340.77,0.53,11857,222833,0.176,241.7
01/07/2024,East,Partner,173,53650,44154,8.13,4.81,24,66,0.163,425.43,0.73,9834,-338,0.823,28.2
01/10/2024,East,Branch,607,95117,40054,8.66,7.23,24,34,0.477,365.47,0.6,12296,42767,0.421,289.54
01/03/2024,West,Online,172,141244,37165,8.6,4.22,6,37,0.292,977.16,0.77,13748,90331,0.263,50.22
01/07/2024,South,Online,407,289270,34439,6.65,4.28,12,44,0.065,214.89,0.82,7244,247587,0.119,26.46
01/11/2024,East,Partner,298,233844,138211,8.14,5.76,24,53,0.232,700.85,0.82,7983,87650,0.591,69.14
01/11/2024,South,Partner,229,53190,64518,9.45,5.01,6,28,0.485,614.08,0.65,16755,-28083,1.213,111.06
01/08/2024,West,Branch,671,98113,108051,5.81,6.98,24,52,0.379,458.6,0.73,7725,-17663,1.101,254.31
01/05/2024,South,Partner,714,189861,46962,8.97,6.54,12,61,0.185,910.07,0.82,9599,133300,0.247,132.09
01/04/2024,East,Branch,586,82125,73934,9.6,7.09,24,37,0.309,736.13,0.52,10366,-2175,0.9,181.07
01/08/2024,South,Partner,250,279767,128085,6.52,5.3,24,27,0.32,998.68,0.74,18025,133657,0.458,80
01/08/2024,East,Partner,768,180000,57763,7.33,6.96,12,61,0.061,334.92,0.83,9887,112350,0.321,46.85
01/03/2024,South,Partner,305,198531,136189,8.52,7.45,12,43,0.13,270.29,0.65,16523,45819,0.686,39.65
01/06/2024,East,Online,278,216490,130290,7.11,5.38,12,52,0.298,311.52,0.68,18658,67542,0.602,82.84
01/05/2024,East,Online,296,161904,84094,9.36,5.36,6,43,0.231,415.43,0.78,5196,72614,0.519,68.38
01/02/2024,South,Online,188,228157,130814,9.06,7.6,12,41,0.136,533.43,0.53,10226,87117,0.573,25.57
01/08/2024,West,Partner,533,68768,39464,6.62,4.2,6,42,0.398,890.08,0.65,7828,21476,0.574,212.13
01/12/2024,North,Branch,282,231033,62036,7.26,5.4,6,42,0.27,426.87,0.62,18031,150966,0.269,76.14
01/06/2024,West,Branch,308,131099,143980,8.77,4.47,12,47,0.189,932.19,0.51,8988,-21869,1.098,58.21
