OrderID,OrderDate,Region,Channel,CustomerID,ProductCategory,UnitsSold,UnitPrice,DiscountPct,GrossSales,NetSales,COGS,Profit,ReturnReason
ORD10000,2024-05-25,South,Online,CUST213,Electronics,7,363.79,0.196,2546.52,2046.26,1524.48,521.78,
ORD10001,2024-09-30,West,Online,CUST411,Furniture,2,227.71,0.024,455.42,444.54,288.74,155.81,
ORD10002,2024-03-27,East,Online,CUST458,Beauty,1,159.42,0.197,159.42,128.04,94.12,33.92,
ORD10003,2023-08-02,East,Online,CUST494,Electronics,5,321.02,0.037,1605.12,1545.98,1017.91,528.07,
ORD10004,2024-12-18,East,Online,CUST490,Furniture,6,351.3,0.205,2107.8,1676.32,1116.54,559.78,
ORD10005,2023-09-13,North,Store,CUST405,Sports,2,249.27,0.394,498.54,302.01,205.32,96.68,
ORD10006,2024-06-14,South,Store,CUST249,Clothing,2,19.73,0.136,39.46,34.08,24.62,9.46,Size/Fit
ORD10007,2024-04-18,West,Store,CUST477,Clothing,4,146.2,0.212,584.8,460.81,273.65,187.16,
ORD10008,2023-07-18,North,Store,CUST116,Electronics,6,444.38,0.251,2666.3,1997.33,1459.75,537.57,
ORD10009,2024-10-07,North,Store,CUST424,Furniture,4,352.33,0.128,1409.33,1229.63,889.01,340.62,
ORD10010,2024-05-01,North,Online,CUST464,Electronics,4,208.12,0.282,832.48,597.73,477.49,120.24,
ORD10011,2023-11-16,North,Online,CUST108,Sports,2,208.46,0.096,416.91,376.74,239.56,137.19,
ORD10012,2023-07-26,East,Online,CUST351,Sports,3,108.69,0.117,326.06,287.76,217.11,70.65,
ORD10013,2023-09-15,West,Partner,CUST457,Furniture,2,247.05,0.208,494.11,391.1,271.88,119.22,
ORD10014,2023-05-11,East,Partner,CUST239,Electronics,3,232.79,0.113,698.37,619.51,386.55,232.95,
ORD10015,2024-02-15,North,Store,CUST359,Furniture,6,438.46,0.067,2630.78,2454.11,1955.6,498.5,
ORD10016,2024-09-03,East,Online,CUST237,Sports,1,280.67,0.037,280.67,270.19,168.66,101.53,Late Delivery
ORD10017,2023-07-14,South,Online,CUST319,Clothing,4,217.15,0.102,868.58,779.69,503.2,276.5,Damaged
ORD10018,2024-11-26,East,Online,CUST381,Clothing,2,107.23,0.195,214.47,172.59,116.6,55.99,
ORD10019,2023-12-22,West,Store,CUST424,Clothing,4,442.45,0.234,1769.81,1356.35,907.89,448.46,
ORD10020,2024-05-21,West,Online,CUST161,Furniture,5,431.8,0.329,2159.02,1449.56,1126.99,322.57,
ORD10021,2023-09-05,West,Online,CUST227,Sports,5,74.29,0.081,371.44,341.52,257.13,84.39,
ORD10022,2024-05-09,East,Store,CUST203,Sports,6,220.6,0.115,1323.59,1171.0,721.33,449.67,
ORD10023,2023-12-26,West,Store,CUST484,Clothing,5,244.36,0.049,1221.81,1162.31,796.95,365.36,
ORD10024,2023-03-25,East,Store,CUST181,Sports,4,354.42,0.264,1417.68,1042.75,586.31,456.44,
ORD10025,2024-11-06,South,Online,CUST258,Clothing,7,248.3,0.073,1738.08,1611.81,1015.97,595.84,Damaged
ORD10026,2023-01-13,East,Online,CUST137,Clothing,3,459.66,0.367,1378.99,872.41,499.74,372.67,
ORD10027,2023-03-04,South,Online,CUST433,Electronics,2,130.55,0.323,261.1,176.74,136.75,39.99,
ORD10028,2023-08-30,East,Store,CUST152,Clothing,4,17.69,0.194,70.76,57.03,45.46,11.57,
ORD10029,2024-05-08,North,Online,CUST323,Beauty,7,304.33,0.099,2130.3,1918.83,1345.26,573.57,
ORD10030,2023-08-22,West,Partner,CUST324,Clothing,4,474.11,0.365,1896.44,1203.69,677.45,526.24,
ORD10031,2024-01-27,South,Online,CUST468,Furniture,4,492.2,0.23,1968.82,1515.47,1072.09,443.38,
ORD10032,2023-07-11,North,Online,CUST377,Electronics,4,96.54,0.19,386.15,312.84,215.0,97.85,
ORD10033,2024-06-24,North,Partner,CUST132,Electronics,7,441.26,0.317,3088.84,2110.04,1300.5,809.54,
ORD10034,2023-10-25,South,Partner,CUST257,Clothing,6,187.64,0.372,1125.84,707.13,415.22,291.91,Late Delivery
ORD10035,2023-07-21,West,Online,CUST333,Clothing,2,276.63,0.032,553.27,535.47,370.32,165.15,
ORD10036,2023-12-14,East,Online,CUST395,Clothing,2,124.35,0.229,248.7,191.78,137.17,54.61,
ORD10037,2024-12-20,West,Partner,CUST305,Clothing,1,446.26,0.136,446.26,385.68,272.95,112.73,
ORD10038,2023-07-19,East,Online,CUST279,Electronics,3,442.0,0.216,1326.01,1039.3,825.14,214.17,
ORD10039,2024-03-11,South,Store,CUST119,Clothing,2,177.74,0.14,355.48,305.77,197.98,107.79,
ORD10040,2023-04-27,South,Store,CUST291,Clothing,5,247.11,0.113,1235.53,1095.99,717.47,378.52,
ORD10041,2024-02-18,East,Store,CUST126,Clothing,5,133.84,0.047,669.21,637.78,398.78,239.0,
ORD10042,2024-03-31,North,Store,CUST301,Electronics,3,107.8,0.271,323.39,235.83,142.41,93.42,
ORD10043,2023-05-23,North,Store,CUST477,Clothing,2,351.58,0.365,703.17,446.61,310.48,136.14,
ORD10044,2024-12-27,West,Online,CUST486,Beauty,6,436.42,0.302,2618.52,1826.97,1067.09,759.88,
ORD10045,2024-02-10,East,Store,CUST222,Clothing,3,266.55,0.165,799.65,667.98,372.31,295.67,
ORD10046,2024-10-10,West,Online,CUST169,Sports,1,195.24,0.31,195.24,134.79,99.15,35.64,
ORD10047,2023-01-07,West,Partner,CUST121,Electronics,5,467.45,0.126,2337.26,2043.37,1588.58,454.8,
ORD10048,2024-06-16,South,Online,CUST353,Clothing,3,34.73,0.133,104.19,90.33,71.07,19.26,
ORD10049,2024-11-12,South,Store,CUST317,Clothing,7,190.48,0.345,1333.37,872.9,591.26,281.64,
ORD10050,2024-05-21,South,Store,CUST313,Beauty,4,493.87,0.163,1975.46,1652.54,1179.88,472.66,
ORD10051,2024-02-28,South,Online,CUST252,Beauty,7,208.34,0.074,1458.38,1350.53,1064.83,285.7,
ORD10052,2023-05-14,West,Partner,CUST182,Furniture,1,300.34,0.039,300.34,288.48,165.61,122.87,
ORD10053,2023-10-21,West,Store,CUST250,Electronics,2,452.86,0.14,905.73,778.57,523.28,255.29,
